"","Estimate","StdErr","nLetters.WD_obs","nLetters.WD_fix","FC..Pred","FC..Pred.StdErr","FC..ci_lower","FC..ci_upper"
"E_CU_1",1.57,0.12,5.92,6.6,1.62,0.12,1.38,1.86
"E_CU_2",0.16,0.11,7.21,6.6,1.78,0.12,1.54,2.02
"E_CU_3",0.31,0.11,6.92,6.6,1.93,0.12,1.68,2.17
"E_CU_4",0.04,0.12,7.5,6.6,1.66,0.12,1.42,1.9
"E_PU_1",0.11,0.11,5.66,6.6,1.73,0.12,1.49,1.97
"E_PU_2",0.09,0.11,6.53,6.6,1.71,0.12,1.47,1.95
"E_PU_3",0.26,0.11,6.77,6.6,1.88,0.12,1.64,2.13
"E_PU_4",-0.08,0.11,6.29,6.6,1.54,0.12,1.3,1.78
"H_CU_1",0.14,0.16,5.92,6.6,1.76,0.13,1.5,2.03
"H_CU_2",0.04,0.16,7.26,6.6,1.66,0.13,1.4,1.92
"H_CU_3",0.2,0.16,7.02,6.6,1.82,0.14,1.55,2.08
"H_CU_4",-0.09,0.16,7.51,6.6,1.53,0.13,1.27,1.79
"H_PU_1",0.06,0.16,5.65,6.6,1.68,0.13,1.41,1.94
"H_PU_2",0.09,0.16,6.46,6.6,1.71,0.13,1.45,1.97
"H_PU_3",0.13,0.16,6.68,6.6,1.75,0.13,1.48,2.01
"H_PU_4",0.05,0.16,6.23,6.6,1.67,0.13,1.41,1.94
"N_CU_1",-0.08,0.14,5.9,6.6,1.54,0.11,1.32,1.76
"N_CU_2",-0.13,0.14,7.11,6.6,1.49,0.11,1.27,1.71
"N_CU_3",0.04,0.14,6.74,6.6,1.66,0.11,1.43,1.88
"N_CU_4",-0.27,0.14,7.49,6.6,1.35,0.11,1.13,1.57
"N_PU_1",-0.07,0.14,5.69,6.6,1.55,0.11,1.33,1.77
"N_PU_2",-0.23,0.14,6.66,6.6,1.39,0.11,1.17,1.61
"N_PU_3",-0.09,0.14,6.93,6.6,1.53,0.11,1.31,1.76
"N_PU_4",-0.36,0.14,6.4,6.6,1.26,0.11,1.03,1.48
