"","Estimate","StdErr","nLetters.WD_obs","nLetters.WD_fix","RRT.Pred","RRT.Pred.StdErr","RRT.ci_lower","RRT.ci_upper"
"E_CU_1",29.69,17.17,5.92,6.6,29.68,17.17,-3.97,63.34
"E_CU_2",36.35,18.96,7.21,6.6,66.03,17.15,32.41,99.64
"E_CU_3",59.08,18.89,6.92,6.6,88.76,17.12,55.2,122.33
"E_CU_4",49.48,19.04,7.5,6.6,79.16,17.2,45.45,112.87
"E_PU_1",16.9,18.74,5.66,6.6,46.59,17.14,13,80.17
"E_PU_2",51.51,18.78,6.53,6.6,81.19,17.04,47.78,114.59
"E_PU_3",65.46,18.82,6.77,6.6,95.14,17.05,61.73,128.55
"E_PU_4",33.12,18.75,6.29,6.6,62.8,17.05,29.38,96.22
"H_CU_1",5.82,24.49,5.92,6.6,35.51,19.04,-1.81,72.82
"H_CU_2",66.3,24.62,7.26,6.6,95.98,19.02,58.71,133.25
"H_CU_3",72.17,24.58,7.02,6.6,101.85,18.99,64.63,139.08
"H_CU_4",20.64,24.68,7.51,6.6,50.32,19.05,12.98,87.66
"H_PU_1",-6.32,24.42,5.65,6.6,23.36,18.96,-13.79,60.52
"H_PU_2",33.57,24.45,6.46,6.6,63.25,18.88,26.25,100.26
"H_PU_3",42.44,24.47,6.68,6.6,72.12,18.88,35.11,109.13
"H_PU_4",30.21,24.43,6.23,6.6,59.89,18.89,22.87,96.91
"N_CU_1",1.43,21.73,5.9,6.6,31.11,15.31,1.1,61.12
"N_CU_2",49.64,21.88,7.11,6.6,79.32,15.29,49.34,109.3
"N_CU_3",50.92,21.8,6.74,6.6,80.61,15.26,50.69,110.52
"N_CU_4",14.46,21.97,7.49,6.6,44.15,15.36,14.03,74.26
"N_PU_1",10.04,21.74,5.69,6.6,39.73,15.37,9.6,69.85
"N_PU_2",36.15,21.78,6.66,6.6,65.83,15.26,35.93,95.73
"N_PU_3",47,21.82,6.93,6.6,76.68,15.27,46.76,106.6
"N_PU_4",9.79,21.75,6.4,6.6,39.47,15.26,9.56,69.39
